Area name,Death date,Daily hospital deaths,Cumulative hospital deaths
England,2020-03-01,0,0
England,2020-03-02,1,1
England,2020-03-03,2,3
England,2020-03-04,0,3
England,2020-03-05,2,5
England,2020-03-06,2,7
England,2020-03-07,0,7
England,2020-03-08,4,11
England,2020-03-09,4,15
England,2020-03-10,1,16
England,2020-03-11,9,25
England,2020-03-12,14,39
England,2020-03-13,20,59
England,2020-03-14,22,81
England,2020-03-15,27,108
England,2020-03-16,40,148
England,2020-03-17,46,194
England,2020-03-18,65,259
England,2020-03-19,63,322
England,2020-03-20,105,427
England,2020-03-21,103,530
England,2020-03-22,149,679
England,2020-03-23,159,838
England,2020-03-24,204,1042
England,2020-03-25,263,1305
England,2020-03-26,325,1630
England,2020-03-27,350,1980
England,2020-03-28,359,2339
England,2020-03-29,437,2776
England,2020-03-30,496,3272
England,2020-03-31,574,3846
England,2020-04-01,644,4490
England,2020-04-02,647,5137
England,2020-04-03,697,5834
England,2020-04-04,777,6611
England,2020-04-05,743,7354
England,2020-04-06,726,8080
England,2020-04-07,812,8892
England,2020-04-08,899,9791
England,2020-04-09,790,10581
England,2020-04-10,739,11320
England,2020-04-11,779,12099
England,2020-04-12,717,12816
England,2020-04-13,698,13514
England,2020-04-14,647,14161
England,2020-04-15,685,14846
England,2020-04-16,639,15485
England,2020-04-17,609,16094
England,2020-04-18,570,16664
England,2020-04-19,522,17186
England,2020-04-20,565,17751
England,2020-04-21,484,18235
England,2020-04-22,501,18736
England,2020-04-23,451,19187
England,2020-04-24,437,19624
England,2020-04-25,385,20009
England,2020-04-26,380,20389
England,2020-04-27,344,20733
England,2020-04-28,341,21074
England,2020-04-29,324,21398
England,2020-04-30,312,21710
England,2020-05-01,306,22016
England,2020-05-02,268,22284
England,2020-05-03,251,22535
England,2020-05-04,259,22794
England,2020-05-05,251,23045
England,2020-05-06,266,23311
England,2020-05-07,255,23566
England,2020-05-08,213,23779
England,2020-05-09,203,23982
England,2020-05-10,196,24178
England,2020-05-11,166,24344
England,2020-05-12,183,24527
England,2020-05-13,162,24689
England,2020-05-14,179,24868
England,2020-05-15,171,25039
England,2020-05-16,167,25206
England,2020-05-17,137,25343
England,2020-05-18,158,25501
England,2020-05-19,144,25645
England,2020-05-20,153,25798
England,2020-05-21,149,25947
England,2020-05-22,121,26068
England,2020-05-23,128,26196
England,2020-05-24,116,26312
England,2020-05-25,133,26445
England,2020-05-26,138,26583
England,2020-05-27,120,26703
England,2020-05-28,124,26827
England,2020-05-29,116,26943
England,2020-05-30,92,27035
England,2020-05-31,83,27118
England,2020-06-01,94,27212
England,2020-06-02,109,27321
England,2020-06-03,110,27431
England,2020-06-04,83,27514
England,2020-06-05,86,27600
England,2020-06-06,83,27683
England,2020-06-07,80,27763
England,2020-06-08,73,27836
England,2020-06-09,67,27903
England,2020-06-10,77,27980
England,2020-06-11,49,28029
England,2020-06-12,52,28081
England,2020-06-13,43,28124
England,2020-06-14,58,28182
England,2020-06-15,56,28238
England,2020-06-16,60,28298
England,2020-06-17,50,28348
England,2020-06-18,49,28397
England,2020-06-19,42,28439
England,2020-06-20,45,28484
England,2020-06-21,36,28520
England,2020-06-22,42,28562
England,2020-06-23,51,28613
England,2020-06-24,54,28667
England,2020-06-25,46,28713
England,2020-06-26,36,28749
England,2020-06-27,30,28779
England,2020-06-28,37,28816
England,2020-06-29,29,28845
England,2020-06-30,29,28874
England,2020-07-01,17,28891
England,2020-07-02,33,28924
England,2020-07-03,18,28942
England,2020-07-04,21,28963
England,2020-07-05,23,28986
England,2020-07-06,23,29009
England,2020-07-07,22,29031
England,2020-07-08,21,29052
England,2020-07-09,37,29089
England,2020-07-10,16,29105
England,2020-07-11,9,29114
England,2020-07-12,14,29128
England,2020-07-13,21,29149
England,2020-07-14,10,29159
England,2020-07-15,17,29176
England,2020-07-16,8,29184
England,2020-07-17,6,29190
England,2020-07-18,10,29200
England,2020-07-19,4,29204
England,2020-07-20,0,29204
