Area name,Death date,Cumulative deaths,Daily deaths
England,2020-03-05,4,4
England,2020-03-06,6,2
England,2020-03-07,6,0
England,2020-03-08,8,2
England,2020-03-09,13,5
England,2020-03-10,16,3
England,2020-03-11,23,7
England,2020-03-12,34,11
England,2020-03-13,49,15
England,2020-03-14,68,19
England,2020-03-15,96,28
England,2020-03-16,139,43
England,2020-03-17,192,53
England,2020-03-18,257,65
England,2020-03-19,327,70
England,2020-03-20,433,106
England,2020-03-21,555,122
England,2020-03-22,726,171
England,2020-03-23,913,187
England,2020-03-24,1148,235
England,2020-03-25,1444,296
England,2020-03-26,1813,369
England,2020-03-27,2224,411
England,2020-03-28,2673,449
England,2020-03-29,3202,529
England,2020-03-30,3827,625
England,2020-03-31,4565,738
England,2020-04-01,5383,818
England,2020-04-02,6271,888
England,2020-04-03,7192,921
England,2020-04-04,8207,1015
England,2020-04-05,9265,1058
England,2020-04-06,10281,1016
England,2020-04-07,11418,1137
England,2020-04-08,12690,1272
England,2020-04-09,13852,1162
England,2020-04-10,15005,1153
England,2020-04-11,16200,1195
England,2020-04-12,17391,1191
England,2020-04-13,18460,1069
England,2020-04-14,19536,1076
England,2020-04-15,20628,1092
England,2020-04-16,21764,1136
England,2020-04-17,22866,1102
England,2020-04-18,23884,1018
England,2020-04-19,24850,966
England,2020-04-20,25835,985
England,2020-04-21,26742,907
England,2020-04-22,27675,933
England,2020-04-23,28562,887
England,2020-04-24,29427,865
England,2020-04-25,30190,763
England,2020-04-26,30944,754
England,2020-04-27,31661,717
England,2020-04-28,32356,695
England,2020-04-29,33050,694
England,2020-04-30,33699,649
England,2020-05-01,34353,654
England,2020-05-02,34939,586
England,2020-05-03,35492,553
England,2020-05-04,36047,555
England,2020-05-05,36581,534
England,2020-05-06,37098,517
England,2020-05-07,37627,529
England,2020-05-08,38103,476
England,2020-05-09,38564,461
England,2020-05-10,38983,419
England,2020-05-11,39337,354
England,2020-05-12,39714,377
England,2020-05-13,40084,370
England,2020-05-14,40452,368
England,2020-05-15,40807,355
England,2020-05-16,41154,347
England,2020-05-17,41466,312
England,2020-05-18,41807,341
England,2020-05-19,42115,308
England,2020-05-20,42414,299
England,2020-05-21,42697,283
England,2020-05-22,42949,252
England,2020-05-23,43201,252
England,2020-05-24,43433,232
England,2020-05-25,43667,234
England,2020-05-26,43924,257
England,2020-05-27,44150,226
England,2020-05-28,44385,235
England,2020-05-29,44599,214
England,2020-05-30,44781,182
England,2020-05-31,44953,172
England,2020-06-01,45130,177
England,2020-06-02,45329,199
England,2020-06-03,45504,175
England,2020-06-04,45668,164
England,2020-06-05,45825,157
England,2020-06-06,45946,121
England,2020-06-07,46082,136
England,2020-06-08,46220,138
England,2020-06-09,46347,127
England,2020-06-10,46485,138
England,2020-06-11,46590,105
England,2020-06-12,46707,117
England,2020-06-13,46791,84
England,2020-06-14,46908,117
England,2020-06-15,46996,88
England,2020-06-16,47098,102
England,2020-06-17,47186,88
England,2020-06-18,47263,77
England,2020-06-19,47338,75
England,2020-06-20,47413,75
England,2020-06-21,47478,65
England,2020-06-22,47550,72
England,2020-06-23,47634,84
England,2020-06-24,47723,89
England,2020-06-25,47815,92
England,2020-06-26,47879,64
England,2020-06-27,47937,58
England,2020-06-28,47998,61
England,2020-06-29,48058,60
England,2020-06-30,48126,68
England,2020-07-01,48169,43
England,2020-07-02,48224,55
England,2020-07-03,48267,43
England,2020-07-04,48311,44
England,2020-07-05,48351,40
England,2020-07-06,48393,42
England,2020-07-07,48428,35
England,2020-07-08,48464,36
England,2020-07-09,48506,42
England,2020-07-10,48532,26
