Simulation,Date_sd,Date_lockdown,Knot_date_1,Knot_date_2,Date,Mean_daily_cases,C025_daily_cases,C975_daily_cases,Mean_cumulative_cases_end,C025_cumulative_cases_end,C975_cumulative_cases_end
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-02,39,39,39,124,124,124
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-03,47,24,84,171,148,208
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-04,57,21,127,228,172,326
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-05,69,20,177,298,196,489
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-06,84,19,245,382,220,713
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-07,101,19,322,483,245,1011
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-08,122,19,429,606,269,1402
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-09,147,19,551,753,295,1899
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-10,179,19,722,932,321,2588
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-11,217,20,897,1149,348,3457
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-12,262,21,1127,1411,379,4492
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-13,317,21,1450,1728,408,5838
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-14,384,23,1841,2112,442,7517
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-15,465,24,2321,2577,478,9671
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-16,564,25,2882,3141,522,12437
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-17,683,26,3688,3823,560,15893
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-18,829,28,4487,4653,601,20211
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-19,1000,30,5597,5653,649,25394
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-20,1199,31,6815,6852,701,31622
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-21,1437,33,8434,8289,755,39948
