Simulation,Date_sd,Date_lockdown,Knot_date_1,Knot_date_2,Date,Mean_growth,C025_growth,C975_growth
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-02,1.26,1.26,1.26
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-03,1.21,0.62,2.15
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-04,1.21,0.62,2.19
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-05,1.21,0.61,2.17
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-06,1.21,0.61,2.17
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-07,1.21,0.61,2.18
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-08,1.21,0.61,2.14
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-09,1.21,0.6,2.18
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-10,1.21,0.61,2.18
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-11,1.21,0.61,2.17
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-12,1.21,0.6,2.18
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-13,1.21,0.61,2.14
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-14,1.21,0.61,2.17
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-15,1.21,0.62,2.16
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-16,1.21,0.61,2.15
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-17,1.21,0.61,2.16
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-18,1.21,0.61,2.16
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-19,1.21,0.61,2.15
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-20,1.2,0.6,2.16
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-21,1.21,0.6,2.15
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-22,1.21,0.61,2.18
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-23,1.08,0.71,1.57
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-24,1.08,0.72,1.56
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-25,1.08,0.72,1.58
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-26,1.08,0.71,1.55
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-27,1.08,0.71,1.57
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-28,1.07,0.71,1.56
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-29,1.08,0.71,1.56
Natural history,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-30,1.08,0.71,1.58
