Simulation,Description,Date_sd,Date_lockdown,Date,Mean,C_025,C_975
True,True,2020-03-17,2020-03-24,2020-01-30,2,NA,NA
True,True,2020-03-17,2020-03-24,2020-01-31,2,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-01,2,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-02,2,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-03,3,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-04,3,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-05,4,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-06,4,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-07,4,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-08,8,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-09,9,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-10,9,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-11,10,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-12,10,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-13,10,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-14,10,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-15,10,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-16,10,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-17,10,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-18,10,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-19,10,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-20,10,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-21,11,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-22,11,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-23,11,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-24,13,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-25,18,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-26,22,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-27,29,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-28,40,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-29,45,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-01,65,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-02,104,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-03,157,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-04,206,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-05,253,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-06,326,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-07,373,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-08,423,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-09,548,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-10,771,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-11,1124,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-12,1539,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-13,1931,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-14,2245,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-15,2642,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-16,3188,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-17,3867,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-18,4776,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-19,5707,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-20,6787,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-21,7823,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,9032,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,11050,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-24,13075,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-25,15341,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-26,17956,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-27,20616,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-28,22993,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-29,25431,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-30,28950,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-31,32715,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-01,36798,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-02,40815,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-03,44862,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-04,48190,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-05,51221,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-06,55552,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-07,60025,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-08,64262,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-09,68277,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-10,71785,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-11,74788,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-12,77488,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-13,80794,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-14,84209,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-15,87812,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-16,91248,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-17,94674,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-18,97250,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-19,99332,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-20,102403,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-21,105397,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-22,108164,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-23,110930,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-24,113702,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-25,115511,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-26,116917,NA,NA
